pID	Player	PlayfabID	SquadID	TeamID	Kills	Placement
1	Mouton Binoclard	53F9EFB9912B04AE	-1	-1	0	-1
2	F∀$〒☆ρφ†ε	2BDAFEF855174022	1	-1	2	6
3	Slicknar	FD8027B60B98C191	1	-1	4	6
4	balkaymak	5F5ADC05FC5EBF5F	2	-1	0	29
5	Sodium Superoxide	FE979EEEBE80A5A6	2	-1	0	29
6	Tryhox6348	78AC5DEAB433C5B6	7	-1	3	2
7	Narrom	DC5A25966BBEC577	7	-1	2	2
8	Arbuzovich	4E8A9A8D2C6C4455	8	-1	2	7
9	Luna	43F6097F5BDBF2AC	8	-1	2	7
10	Violet	A1ADC03DAFBA46BB	3	-1	0	49
11	Twitch.tv / Soyia777	B5328517DF02E79E	3	-1	0	49
12	Roink	4448A7AC631FAC1B	4	-1	3	5
13	Jezko10 [Blom]	EA5DE463B63EBD48	5	-1	0	13
14	[Blom] Bliemeyy	1A3DC2E802EDDD46	5	-1	1	13
15	darken fading summer skies	E0115E316B5B31F	4	-1	2	5
16	NRG	92667BD0439E88E3	9	-1	1	12
17	SheppardKiller	5A78439FA592685F	6	-1	0	24
18	ban	340AE4F35F36C207	6	-1	1	24
19	HannaH	D41831D4E9B3C18C	9	-1	0	12
20	phOnixgamer12	E6D3CB09D31F4E05	0	-1	0	15
21	Попытка номер два	8855CCF1F382C88F	10	-1	1	22
22	I'm a sheep	46F128A6A88B77AE	10	-1	1	22
23	Krolpand	C179F4AB925E7F9B	11	-1	0	45
24	Alena	5C3121BBB3361FD7	12	-1	2	9
25	flashR	D4E415DEDE69BDFB	12	-1	0	9
26	berg_max2011	619DDA3CDF64B56E	13	-1	0	44
27	eddy.biscuit	B72E5CBF79782D50	13	-1	0	44
28	2hearts	447C4DDBA880376B	14	-1	2	8
29	zzzIncrpt	7C1569D98EDC54D	14	-1	0	8
30	BDR|scoop	28C4478418C1E266	15	-1	0	37
31	BDR|Manurex11	181E5FF03BC611D9	-1	-1	0	37
32	azzy	B70A8B2AB25DDAAE	16	-1	5	3
33	GnK.Zayets	B5D29C1EC6F0757F	16	-1	0	3
34	Neko	83C16BD4221C3D0C	17	-1	1	27
35	AshKetchup	BB33B0695F75D2A5	17	-1	2	27
36	stoalss-	D11AD48F90F82725	18	-1	0	11
37	✝ | Reef21	893CD418101A1848	18	-1	1	11
38	bad weed	94FF948419FF1AF7	19	-1	0	16
39	ploofy rl	141DB0284A5934DB	20	-1	0	32
40	Pandaman8155	4D9B64C6E6BBD05	20	-1	0	32
41	habsm1	131C6C3006976E14	21	-1	0	46
47	JIRACHI~	D7790288B0729FBE	26	-1	0	35
43	[KLA] KOZLOW	CB96A77EABC076D0	23	-1	2	17
44	Rh0dii	3CFD6330E0672401	22	-1	0	47
45	TTV_TheCrow_VTT	C15FF9661DEC453D	24	-1	0	10
46	med0iqyt	54E426DBA416133	24	-1	4	10
48	Kirbo	A9581CF617E57002	25	-1	0	38
49	Pixel MB	88AAD504B03C0BC4	25	-1	0	38
50	Wolfeye279159	FAAC926ED867070C	26	-1	0	35
51	Rozzke	2D62201E7E30C33F	27	-1	1	21
52	Blackcat :|	742656D3F00F38E9	27	-1	2	21
53	Myndu	CEBD797CCE41952	28	-1	0	25
54	Sniperストーム	ABB43F28275634CF	28	-1	2	25
